Categorie,Sous-categorie,Nom,Prix,Image,Lien,Rayon                    ,Categorie                ,Famille                  ,Talon                    ,Info pointure            ,Semelle                  ,Doublure                 ,Matiere exterieure       ,Matière                  ,Couleur principale       ,Référence,Libellé modèle,Membrane                 
Femme,Charentaises,Chaussons et Pantoufles -Femme -Foururre synthétique -Kaki  -Charentaise -la maison de l espadrille,28.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4916102_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/7635-neo-charentaise-kaki/4916102.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Foururre synthétique,Synthétique,Nubuck,Kaki,4916102.0,7635 NEO CHARENTAISE,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Foururre synthétique -Orange  -Charentaise -la maison de l espadrille,28.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4916103_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/7635-neo-charentaise-orange/4916103.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Foururre synthétique,Synthétique,Nubuck,Orange,4916103.0,7635 NEO CHARENTAISE,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Foururre synthétique -Bleu Marine  -Charentaise -la maison de l espadrille,28.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4916106_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/7635-neo-charentaise-bleu-marine/4916106.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Foururre synthétique,Synthétique,Velours,Bleu Marine,4916106.0,7635 NEO CHARENTAISE,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Foururre synthétique -Gris  -Charentaise -la maison de l espadrille,39.99 €,/CHAUSSURESONLINE_WEB/photos/Ico/4770501_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/f4131-charentaise-chat-gris/4770501.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Foururre synthétique,Synthétique,Feutrine,Gris,4770501.0,F4131 CHARENTAISE CHAT,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Rose  -Charentaise -la maison de l espadrille,11.60 €29.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4415402_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/7664-rose/4415402.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Laine tissée,Toile,Synthetique,Rose,4415402.0,7664,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Foururre synthétique -Noir  -Charentaise -la maison de l espadrille,24.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4770901_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/7649-chat-noir/4770901.awp,Femme,Chaussons et Pantoufles,Charentaise,,Chausse normal,Gomme,Foururre synthétique,Synthétique,Synthetique,Noir,4770901.0,7649 CHAT,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Textile -Divers  -Charentaise -isotoner,39.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4854901_1.jpg,https://www.chaussuresonline.com/fr/chaussure/isotoner/femme/chaussons-et-pantoufles/97267-girafe-divers/4854901.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Textile,Toile,Coton,Divers,4854901.0,97267 GIRAFE,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Textile -Noir  -Charentaise -isotoner,39.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/7215901_1.jpg,https://www.chaussuresonline.com/fr/chaussure/isotoner/femme/chaussons-et-pantoufles/97310-noir/7215901.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Textile,Cuir Grainé,Coton,Noir,7215901.0,97310,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Jaune  -Charentaise -rondinaud,42.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4864801_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/femme/chaussons-et-pantoufles/anouk-exterieur-femme-jaune/4864801.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,Laine,Jaune,4864801.0,ANOUK EXTERIEUR FEMME,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Jaune  -Charentaise -rondinaud,42.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4786501_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/femme/chaussons-et-pantoufles/anouk-femme-jaune/4786501.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,Laine,Jaune,4786501.0,ANOUK FEMME,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Beige  -Charentaise -rondinaud,39.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4787201_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/femme/chaussons-et-pantoufles/cahors-femme-beige/4787201.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,Laine,Beige,4787201.0,CAHORS FEMME,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Gris  -Charentaise -semelflex,39.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4802601_1.jpg,https://www.chaussuresonline.com/fr/chaussure/semelflex/femme/chaussons-et-pantoufles/calolydie-gris/4802601.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon compensé,Chausse normal,Gomme,Laine tissée,Synthétique,Laine,Gris,4802601.0,CALOLYDIE,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Orange  -Charentaise -chausse mouton,49.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4846701_1.jpg,https://www.chaussuresonline.com/fr/chaussure/chausse-mouton/femme/chaussons-et-pantoufles/cest-le-pied-orange/4846701.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Synthétique,Velours,Orange,4846701.0,CEST LE PIED,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Vert  -Charentaise -rondinaud,39.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4786301_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/femme/chaussons-et-pantoufles/iris-femme-vert/4786301.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,Textile,Vert,4786301.0,IRIS FEMME,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Jaune  -Charentaise -chausse mouton,47.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4846601_1.jpg,https://www.chaussuresonline.com/fr/chaussure/chausse-mouton/femme/chaussons-et-pantoufles/kyoto-jaune/4846601.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Synthétique,Velours,Jaune,4846601.0,KYOTO,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Bleu  -Charentaise -chausse mouton,47.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4846602_1.jpg,https://www.chaussuresonline.com/fr/chaussure/chausse-mouton/femme/chaussons-et-pantoufles/kyoto-bleu/4846602.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Synthétique,Velours,Bleu,4846602.0,KYOTO,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Or  -Charentaise -rondinaud,39.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4787101_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/femme/chaussons-et-pantoufles/marion-femme-or/4787101.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,Synthetique,Or,4787101.0,MARION FEMME,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée - -Charentaise -chausse mouton,49.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4793901_1.jpg,https://www.chaussuresonline.com/fr/chaussure/chausse-mouton/femme/chaussons-et-pantoufles/melrose-/4793901.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Synthétique,,,4793901.0,MELROSE,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Fleurs  -Charentaise -rondinaud,39.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4786401_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/femme/chaussons-et-pantoufles/pauline-femme-fleurs/4786401.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,Synthetique,Fleurs,4786401.0,PAULINE FEMME,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée - -Charentaise -rondinaud,39.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4786901_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/femme/chaussons-et-pantoufles/sandy-femme-/4786901.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,,,4786901.0,SANDY FEMME,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Noir  -Charentaise -chausse mouton,49.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4793701_1.jpg,https://www.chaussuresonline.com/fr/chaussure/chausse-mouton/femme/chaussons-et-pantoufles/tweed-noir/4793701.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Synthétique,Laine,Noir,4793701.0,TWEED,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Fleurs  -Charentaise -la maison de l espadrille,28.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4879901_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/7632-fleurs/4879901.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Laine tissée,Synthétique,Textile,Fleurs,4879901.0,7632,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Foururre synthétique -Marron  -Charentaise -la maison de l espadrille,28.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4916101_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/7635-neo-charentaise-marron/4916101.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Foururre synthétique,Synthétique,Velours,Marron,4916101.0,7635 NEO CHARENTAISE,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Foururre synthétique -Jaune  -Charentaise -la maison de l espadrille,28.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4916104_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/7635-neo-charentaise-jaune/4916104.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Foururre synthétique,Synthétique,Velours,Jaune,4916104.0,7635 NEO CHARENTAISE,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Foururre synthétique -Anthracite  -Charentaise -la maison de l espadrille,28.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4916105_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/7635-neo-charentaise-anthracite/4916105.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Foururre synthétique,Synthétique,Synthetique,Anthracite,4916105.0,7635 NEO CHARENTAISE,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Noir  -Charentaise -la maison de l espadrille,29.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4879801_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/7640-noir/4879801.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Laine tissée,Synthétique,Textile,Noir,4879801.0,7640,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Textile -Anthracite  -Charentaise -isotoner,42.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4915601_1.jpg,https://www.chaussuresonline.com/fr/chaussure/isotoner/femme/chaussons-et-pantoufles/97352-chat-anthracite/4915601.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Textile,Toile,Synthetique,Anthracite,4915601.0,97352 CHAT,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Bleu Marine  -Charentaise -rondinaud,49.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4876501_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/femme/chaussons-et-pantoufles/adam-femme-exterieur-bleu-marine/4876501.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,Synthetique,Bleu Marine,4876501.0,ADAM FEMME EXTERIEUR,MADE IN FRANCE
